Crop,Moisture,Temperature,pH,EC,Nitrogen,Phosphorus,Potassium,Status
TOMATO,50,25,6.2,1.2,80,45,90,Optimal
TOMATO,42,22,5.8,0.8,55,30,60,Normal
TOMATO,65,28,6.7,2.0,105,65,130,Normal
TOMATO,30,25,6.2,1.2,80,45,90,Moisture Low
TOMATO,50,25,5.0,1.2,80,45,90,pH Low
TOMATO,50,25,7.5,1.2,80,45,90,pH High
TOMATO,50,25,6.2,3.0,80,45,90,EC High
TOMATO,50,25,6.2,1.2,30,45,90,Nitrogen Low
TOMATO,50,25,6.2,1.2,80,10,90,Phosphorus Low
TOMATO,50,25,6.2,1.2,80,45,180,Potassium High
RAGI,45,26,6.2,1.0,65,35,70,Optimal
RAGI,35,23,5.8,0.7,45,25,50,Normal
RAGI,55,29,6.7,1.5,85,50,100,Normal
RAGI,25,26,6.2,1.0,65,35,70,Moisture Low
RAGI,45,26,5.0,1.0,65,35,70,pH Low
RAGI,45,26,7.5,1.0,65,35,70,pH High
RAGI,45,26,2.5,1.0,65,35,70,EC High
RAGI,45,26,6.2,1.0,20,35,70,Nitrogen Low
RAGI,45,26,6.2,1.0,65,10,70,Phosphorus Low
RAGI,45,26,6.2,1.0,65,35,140,Potassium High
RICE,70,28,6.5,1.0,80,40,70,Optimal
RICE,60,24,5.8,0.6,60,25,50,Normal
RICE,82,32,7.1,2.2,105,60,100,Normal
RICE,45,28,6.5,1.0,80,40,70,Moisture Low
RICE,70,28,4.5,1.0,80,40,70,pH Low
RICE,70,28,8.0,1.0,80,40,70,pH High
RICE,70,28,6.5,4.0,80,40,70,EC High
RICE,70,28,6.5,25,40,40,70,Nitrogen Low
RICE,70,28,6.5,1.0,80,5,70,Phosphorus Low
RICE,70,28,6.5,1.0,80,40,150,Potassium High
MAIZE,55,25,6.5,1.2,90,45,90,Optimal
MAIZE,45,22,6.0,0.8,60,30,60,Normal
MAIZE,65,29,7.1,2.0,120,65,130,Normal
MAIZE,35,25,6.5,1.2,90,45,90,Moisture Low
MAIZE,55,25,5.0,1.2,90,45,90,pH Low
MAIZE,55,25,8.0,1.2,90,45,90,pH High
MAIZE,55,25,6.5,3.0,90,45,90,EC High
MAIZE,55,25,6.5,25,90,45,90,Nitrogen Low
MAIZE,55,25,6.5,1.2,90,10,90,Phosphorus Low
MAIZE,55,25,6.5,1.2,90,45,180,Potassium High
JOWAR,45,27,6.5,1.1,70,35,70,Optimal
JOWAR,35,23,6.0,0.7,50,25,50,Normal
JOWAR,55,31,7.3,1.8,90,50,100,Normal
JOWAR,25,27,6.5,1.1,70,35,70,Moisture Low
JOWAR,45,27,5.0,1.1,70,35,70,pH Low
JOWAR,45,27,8.5,1.1,70,35,70,pH High
JOWAR,45,27,6.5,3.0,70,35,70,EC High
JOWAR,45,27,6.5,1.1,15,35,70,Nitrogen Low
JOWAR,45,27,6.5,1.1,70,5,70,Phosphorus Low
JOWAR,45,27,6.5,1.1,70,35,140,Potassium High
BAJRA,40,28,6.5,1.0,65,35,70,Optimal
BAJRA,32,25,6.0,0.7,45,25,50,Normal
BAJRA,50,32,7.1,1.8,85,50,100,Normal
BAJRA,20,28,6.5,1.0,65,35,70,Moisture Low
BAJRA,40,28,5.0,1.0,65,35,70,pH Low
BAJRA,40,28,8.0,1.0,65,35,70,pH High
BAJRA,40,28,6.5,3.0,65,35,70,EC High
BAJRA,40,28,6.5,1.0,15,35,70,Nitrogen Low
BAJRA,40,28,6.5,1.0,65,5,70,Phosphorus Low
BAJRA,40,28,6.5,1.0,65,35,140,Potassium High
WHEAT,50,20,6.8,1.0,80,40,70,Optimal
